データセット	データセットの説明（英語）	データセットの説明	データ型	代表的なReference
esoph	"Smoking, Alcohol and (O)esophageal Cancer"	食道がんの発生とたばこ・飲酒の関係	データフレーム	Breslow and Day (1980)
euro	Conversion Rates of Euro Currencies	ヨーロッパ通貨間の為替レート	ベクター	ー
euro.cross	Conversion Rates of Euro Currencies	ヨーロッパ通貨間の為替レート	マトリックス	ー
eurodist	Distances Between European Cities and Between US Cities	ヨーロッパ通貨間の為替レート都市間の距離	距離行列	Crystal (1990)
faithful	Old Faithful Geyser Data	イエローストーン国立公園の間欠泉のデータ	データフレーム	Azzalini and Bowman (1990)
freeny	Freeny's Revenue Data	Freenyの4半期収支のデータ	データフレーム	Freeny (1977)
freeny.x	Freeny's Revenue Data	Freenyの4半期収支のデータ	行列	Freeny (1977)
freeny.y	Freeny's Revenue Data	Freenyの4半期収支のデータ	時系列	Freeny (1977)
infert	Infertility after Spontaneous and Induced Abortion	中絶に関するデータ	データフレーム	Trichopoulos?et a.l?(1976)
iris	Edgar Anderson's Iris Data	アヤメの花のデータ	データフレーム	Fisher (1936)
iris3	Edgar Anderson's Iris Data	アヤメの花のデータ	3次元アレイ	Fisher (1936)
islands	Areas of the World's Major Landmasses	10000平方マイルを超える面積の島の数	ベクター	McNeil (1977)
ldeaths	Monthly Deaths from Lung Diseases in the UK	1974-1979年のUKにおける気管支炎等での死亡者数	時系列	Diggle (1990)
fdeaths	Monthly Deaths from Lung Diseases in the UK	1974-1979年のUKにおける気管支炎等での死亡者数（女性）	時系列	Diggle (1990)
mdeaths	Monthly Deaths from Lung Diseases in the UK	1974-1979年のUKにおける気管支炎等での死亡者数（男性）	時系列	Diggle (1990)
lh	Luteinizing Hormone in Blood Samples	黄体形成ホルモンの血中濃度の変化	時系列	Diggle (1990)
longley	Longley's Economic Regression Data	1947-1962年のマクロ経済データ	データフレーム	Longley (1967)
lynx	Annual Canadian Lynx trappings 1821-1934	1821?1934年にカナダで捕らえられたリンクスの数	時系列	Becker et al. (1988)
morley	Michelson Speed of Light Data	ミケルソンが測定した光の速度のデータ	データフレーム	Michelson (1882)
mtcars	Motor Trend Car Road Tests	車種と燃料消費のデータ	データフレーム	Henderson and Velleman (1981)
nhtemp	Average Yearly Temperatures in New Haven	1912-1971年のコネチカット州ニューヘブンの年平均気温	時系列	Vaux and Brinker (1972)
nottem	"Average Monthly Temperatures at Nottingham, 1920-1939"	1920-1939念のノッティンガム城の月平均気温	時系列	Anderson (1976)
npk	"Classical N, P, K Factorial Experiment"	窒素・リン・カリウム肥料とエンドウ豆の収量の関係	データフレーム	Venables and Ripley (2002)
occupationalStatus	Occupational Status of Fathers and their Sons	UKの父子のステータスの関連表	行列	Goodman (1979)
precip	Annual Precipitation in US Cities	アメリカの各都市の降雨量	ベクター	McNeil (1977)
presidents	Quarterly Approval Ratings of US Presidents	1945-1974年のアメリカ大統領の支持率	時系列	McNeil (1977)
pressure	Vapor Pressure of Mercury as a Function of Temperature	温度と水銀の蒸気圧の関係	データフレーム	Weast (1973)
quakes	Locations of Earthquakes off Fiji	フィジー周辺のM4以上の地震の位置と深さ	データフレーム	ー
randu	Random Numbers from Congruential Generator RANDU	FortranのRANDU関数で作った3次元乱数	データフレーム	ー
rivers	Lengths of Major North American Rivers	北米の主な河川の長さ	ベクター	McNeil (1977)
rock	Measurements on Petroleum Rock Samples	油田から採取した石のデータ	データフレーム	"Ronit Katz, U. Oxford."
sleep	Student's Sleep Data	睡眠薬2種を接種した学生の睡眠量のデータ	データフレーム	Cushny and Peebles (1905)
stackloss	Brownlee's Stack Loss Plant Data	アンモニアをニトリル酸に酸化する工場のデータ	データフレーム	Brownlee (1965)
stack.loss	Brownlee's Stack Loss Plant Data	アンモニアをニトリル酸に酸化する工場のデータ	ベクター	Brownlee (1965)
stack.x	Brownlee's Stack Loss Plant Data	アンモニアをニトリル酸に酸化する工場のデータ	行列	Brownlee (1965)
state.abb	US State Facts and Figures	US州名の略称	ベクター	U.S. Census (1977)
state.area	US State Facts and Figures	US州の面積	ベクター	U.S. Census (1977)
state.center	US State Facts and Figures	US州の中心の緯度・経度	リスト	U.S. Census (1977)
state.division	US State Facts and Figures	US州の地域区分	ベクター	U.S. Census (1977)
state.name	US State Facts and Figures	US州名	ベクター	U.S. Census (1977)
state.region	US State Facts and Figures	US州の位置分類	ベクター	U.S. Census (1977)
state.x77	US State Facts and Figures	US州の人口・収入等のデータ	データフレーム	U.S. Census (1977)
sunspot.month	"Monthly Sunspot Data, from 1749 to ""Present"""	1749年以降に観察された太陽黒点の数	時系列	WDC-SILSO
sunspot.year	"Yearly Sunspot Data, 1700-1988"	1749?1983年に観察された太陽黒点の数（年別）	時系列	WDC-SILSO
sunspots	"Monthly Sunspot Numbers, 1749-1983"	1749?1983年に観察された太陽黒点の数	時系列	WDC-SILSO
swiss	Swiss Fertility and Socioeconomic Indicators (1888) Data	スイス・フランス語圏の地域の農業等のデータ	データフレーム	Mosteller and Tukey (1977)
treering	"Yearly Treering Data, -6000-1979"	樹木の年輪幅のデータ	時系列	Graybill (1980)
trees	"Diameter, Height and Volume for Black Cherry Trees"	ブラックチェリーの木の高さ・直径・体積のデータ	データフレーム	Ryan et al. (1976)
uspop	Populations Recorded by the US Census	1790-1970年のUS人口	時系列	McNeil (1977)
volcano	Topographic Information on Auckland's Maunga Whau Volcano	マウンガファウ位置と標高のデータ	行列	ー
warpbreaks	The Number of Breaks in Yarn during Weaving	布織の際の経糸切れの数のデータ	データフレーム	Tippett (1950)
women	Average Heights and Weights for American Women	30-39歳の女性の体重と身長のデータ	データフレーム	"The World Almanac and Book of Facts, 1975."
