age,live,dead,ratio_live,ratio_dead,dead_pow,life_expectancy,sex
97,5993,1644,0.72571,0.27429,0.30749,2.68,male
98,4349,1277,0.70637,0.29363,0.33391,2.51,male
99,3072,962,0.68671,0.31329,0.36152,2.35,male
100,2110,703,0.66676,0.33324,0.39037,2.21,male
101,1407,497,0.64654,0.35346,0.4205,2.07,male
102,909,340,0.62606,0.37394,0.45198,1.95,male
103,569,225,0.60537,0.39463,0.48487,1.83,male
104,345,143,0.58448,0.41552,0.51922,1.73,male
105,201,88,0.56342,0.43658,0.55512,1.63,male
106,113,52,0.54223,0.45777,0.59261,1.54,male
107,62,29,0.52095,0.47905,0.63179,1.45,male
108,32,16,0.49961,0.50039,0.67271,1.37,male
109,16,8,0.47824,0.52176,0.71547,1.3,male
110,8,4,0.4569,0.5431,0.76013,1.23,male
111,4,2,0.43562,0.56438,0.8068,1.16,male
112,2,1,0.41444,0.58556,0.85554,1.1,male
113,1,0,0.39342,0.60658,0.90647,1.05,male
0,100000,172,0.99828,0.00172,0.06362,87.71,female
1,99828,17,0.99983,0.00017,0.00042,86.86,female
2,99811,12,0.99988,0.00012,0.00007,85.88,female
3,99800,9,0.99991,0.00009,0.0001,84.89,female
4,99791,7,0.99993,0.00007,0.00008,83.9,female
5,99784,7,0.99993,0.00007,0.00007,82.9,female
6,99777,7,0.99993,0.00007,0.00007,81.91,female
7,99771,6,0.99994,0.00006,0.00006,80.91,female
8,99765,6,0.99994,0.00006,0.00006,79.92,female
9,99759,5,0.99995,0.00005,0.00006,78.92,female
10,99753,5,0.99995,0.00005,0.00005,77.93,female
11,99748,6,0.99994,0.00006,0.00005,76.93,female
12,99742,7,0.99993,0.00007,0.00006,75.93,female
13,99735,8,0.99992,0.00008,0.00007,74.94,female
14,99727,9,0.99991,0.00009,0.00008,73.95,female
15,99719,11,0.99989,0.00011,0.0001,72.95,female
16,99707,14,0.99986,0.00014,0.00013,71.96,female
17,99693,17,0.99983,0.00017,0.00016,70.97,female
18,99676,19,0.99981,0.00019,0.00018,69.98,female
19,99657,20,0.9998,0.0002,0.0002,69,female
20,99637,22,0.99978,0.00022,0.00021,68.01,female
21,99615,23,0.99977,0.00023,0.00022,67.02,female
22,99593,24,0.99976,0.00024,0.00024,66.04,female
23,99569,25,0.99975,0.00025,0.00025,65.06,female
24,99544,25,0.99975,0.00025,0.00025,64.07,female
25,99519,25,0.99975,0.00025,0.00025,63.09,female
26,99494,25,0.99975,0.00025,0.00025,62.1,female
27,99469,26,0.99974,0.00026,0.00026,61.12,female
28,99443,26,0.99974,0.00026,0.00026,60.13,female
29,99417,27,0.99973,0.00027,0.00027,59.15,female
30,99390,27,0.99973,0.00027,0.00027,58.17,female
31,99363,27,0.99973,0.00027,0.00027,57.18,female
32,99336,28,0.99972,0.00028,0.00028,56.2,female
33,99307,31,0.99969,0.00031,0.0003,55.21,female
34,99277,34,0.99965,0.00035,0.00033,54.23,female
35,99242,39,0.99961,0.00039,0.00037,53.25,female
36,99204,43,0.99957,0.00043,0.00041,52.27,female
37,99161,46,0.99954,0.00046,0.00045,51.29,female
38,99115,50,0.9995,0.0005,0.00048,50.31,female
39,99066,54,0.99946,0.00054,0.00052,49.34,female
40,99012,58,0.99942,0.00058,0.00056,48.37,female
41,98954,62,0.99937,0.00063,0.0006,47.39,female
42,98892,67,0.99932,0.00068,0.00065,46.42,female
43,98826,73,0.99926,0.00074,0.00071,45.45,female
44,98752,81,0.99918,0.00082,0.00078,44.49,female
45,98672,89,0.99909,0.00091,0.00086,43.52,female
46,98582,98,0.99901,0.00099,0.00095,42.56,female
47,98484,107,0.99892,0.00108,0.00104,41.6,female
48,98378,117,0.99881,0.00119,0.00113,40.65,female
49,98261,129,0.99869,0.00131,0.00125,39.7,female
50,98132,142,0.99855,0.00145,0.00138,38.75,female
51,97990,155,0.99842,0.00158,0.00152,37.8,female
52,97835,167,0.99829,0.00171,0.00165,36.86,female
53,97668,177,0.99819,0.00181,0.00176,35.92,female
54,97492,187,0.99808,0.00192,0.00187,34.99,female
55,97304,199,0.99796,0.00204,0.00198,34.06,female
56,97106,211,0.99782,0.00218,0.00211,33.12,female
57,96894,225,0.99767,0.00233,0.00225,32.19,female
58,96669,239,0.99753,0.00247,0.0024,31.27,female
59,96430,253,0.99737,0.00263,0.00255,30.35,female
60,96177,271,0.99719,0.00281,0.00272,29.42,female
61,95906,293,0.99695,0.00305,0.00293,28.51,female
62,95613,319,0.99667,0.00333,0.00319,27.59,female
