"prefectures","value","year","sex"
"北海道","96.5",1976,"ratio"
"北海道","2673",1977,"male"
"北海道","2770",1977,"female"
"北海道","96.5",1977,"ratio"
"北海道","2695",1978,"male"
"北海道","2795",1978,"female"
"北海道","96.4",1978,"ratio"
"北海道","2717",1979,"male"
"北海道","2818",1979,"female"
"北海道","96.4",1979,"ratio"
"北海道","2737",1980,"male"
"北海道","2839",1980,"female"
"北海道","96.4",1980,"ratio"
"北海道","2748",1981,"male"
"北海道","2857",1981,"female"
"北海道","96.2",1981,"ratio"
"北海道","2757",1982,"male"
"北海道","2873",1982,"female"
"北海道","96",1982,"ratio"
"北海道","2766",1983,"male"
"北海道","2890",1983,"female"
"北海道","95.7",1983,"ratio"
"北海道","2769",1984,"male"
"北海道","2903",1984,"female"
"北海道","95.4",1984,"ratio"
"北海道","2766",1985,"male"
"北海道","2913",1985,"female"
"北海道","95",1985,"ratio"
"北海道","2757",1986,"male"
"北海道","2916",1986,"female"
"北海道","94.6",1986,"ratio"
"北海道","2745",1987,"male"
"北海道","2915",1987,"female"
"北海道","94.2",1987,"ratio"
"北海道","2737",1988,"male"
"北海道","2918",1988,"female"
"北海道","93.8",1988,"ratio"
"北海道","2730",1989,"male"
"北海道","2919",1989,"female"
"北海道","93.5",1989,"ratio"
"北海道","2723",1990,"male"
"北海道","2921",1990,"female"
"北海道","93.2",1990,"ratio"
"北海道","2723",1991,"male"
"北海道","2927",1991,"female"
"北海道","93",1991,"ratio"
"北海道","2726",1992,"male"
"北海道","2935",1992,"female"
"北海道","92.9",1992,"ratio"
"北海道","2728",1993,"male"
"北海道","2941",1993,"female"
"北海道","92.8",1993,"ratio"
"北海道","2732",1994,"male"
"北海道","2949",1994,"female"
"北海道","92.7",1994,"ratio"
"北海道","2737",1995,"male"
"北海道","2955",1995,"female"
"北海道","92.6",1995,"ratio"
"北海道","2738",1996,"male"
"北海道","2960",1996,"female"
"北海道","92.5",1996,"ratio"
"北海道","2736",1997,"male"
"北海道","2962",1997,"female"
"北海道","92.4",1997,"ratio"
"北海道","2731",1998,"male"
"北海道","2964",1998,"female"
"北海道","92.1",1998,"ratio"
"北海道","2725",1999,"male"
"北海道","2964",1999,"female"
"北海道","92",1999,"ratio"
"北海道","2719",2000,"male"
"北海道","2964",2000,"female"
"北海道","91.8",2000,"ratio"
"青森県","381",1920,"male"
"青森県","375",1920,"female"
"青森県","101.6",1920,"ratio"
"青森県","386.4",1921,"male"
"青森県","381",1921,"female"
"青森県","101.4",1921,"ratio"
"青森県","390.5",1922,"male"
"青森県","384.7",1922,"female"
"青森県","101.5",1922,"ratio"
"青森県","394.7",1923,"male"
"青森県","389.5",1923,"female"
"青森県","101.3",1923,"ratio"
"青森県","398.5",1924,"male"
"青森県","393.6",1924,"female"
"青森県","101.2",1924,"ratio"
"青森県","409",1925,"male"
"青森県","404",1925,"female"
"青森県","101.1",1925,"ratio"
"青森県","414.7",1926,"male"
"青森県","410.5",1926,"female"
"青森県","101",1926,"ratio"
"青森県","421.7",1927,"male"
"青森県","414.7",1927,"female"
"青森県","101.7",1927,"ratio"
"青森県","425.3",1928,"male"
"青森県","422.2",1928,"female"
"青森県","100.7",1928,"ratio"
"青森県","432",1929,"male"
"青森県","428.9",1929,"female"
"青森県","100.7",1929,"ratio"
"青森県","441",1930,"male"
"青森県","438",1930,"female"
"青森県","100.7",1930,"ratio"
"青森県","450.7",1931,"male"
"青森県","447.1",1931,"female"
"青森県","100.8",1931,"ratio"
"青森県","457.5",1932,"male"
"青森県","454.7",1932,"female"
"青森県","100.6",1932,"ratio"
"青森県","467",1933,"male"
"青森県","464.4",1933,"female"
"青森県","100.6",1933,"ratio"
"青森県","475.7",1934,"male"
"青森県","473.2",1934,"female"
"青森県","100.5",1934,"ratio"
"青森県","484",1935,"male"
"青森県","483",1935,"female"
"青森県","100.3",1935,"ratio"
"青森県","484.2",1936,"male"
"青森県","487.9",1936,"female"
"青森県","99.2",1936,"ratio"
"青森県","484.6",1937,"male"
"青森県","494.5",1937,"female"
"青森県","98",1937,"ratio"
"青森県","490.9",1938,"male"
"青森県","503.7",1938,"female"
"青森県","97.5",1938,"ratio"
"青森県","483.2",1939,"male"
"青森県","500.9",1939,"female"
"青森県","96.5",1939,"ratio"
"青森県","481",1940,"male"
"青森県","504",1940,"female"
"青森県","95.5",1940,"ratio"
"青森県","473.3",1941,"male"
"青森県","510.5",1941,"female"
"青森県","92.7",1941,"ratio"
"青森県","477.7",1942,"male"
"青森県","519.9",1942,"female"
"青森県","91.9",1942,"ratio"
"青森県","479.3",1943,"male"
"青森県","529.3",1943,"female"
"青森県","90.6",1943,"ratio"
"青森県","476",1944,"male"
"青森県","533",1944,"female"
"青森県","89.3",1944,"ratio"
"青森県","512",1945,"male"
"青森県","571",1945,"female"
